"平成29年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成29年4月1日から平成30年3月31日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々地区災害関連緊急地滑り対策事業に係る不動産鑑定　","イーストノース株式会社","単価契約","H30.2.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","梅本川災害関連緊急砂防事業に係る不動産鑑定　","イーストノース株式会社","単価契約","H30.2.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","井関御坊線道路改良事業に係る意見書","小林一三不動産鑑定事務所","単価契約","H30.2.21","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","海南金屋線道路改良工事に係る意見書","藍畑不動産鑑定事務所","単価契約","H30.2.27","報償額が一律で競争入札になじまず、また、左記鑑定事務所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H30.2.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H30.2.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","国道４８０号道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H30.2.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","有田湯浅線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","H30.2.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","有田湯浅線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","H30.2.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","生石公園線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","H30.2.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","熊井川高速道路関連河川改修工事に係る意見書","清水不動産鑑定士事務所","単価契約","H30.3.1","報償額が一律で競争入札になじまず、また、左記鑑定士事務所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","熊井川高速道路関連河川改修工事に係る意見書","清水不動産鑑定士事務所","単価契約","H30.3.1","報償額が一律で競争入札になじまず、また、左記鑑定士事務所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","御坊中津線道路改良事業に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","H30.3.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","田辺龍神線道路維持修繕工事に係る意見書","藍畑不動産鑑定事務所","単価契約","H30.3.7","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","井戸ノ谷川砂防事業に係る不動産鑑定業務","イーストノース株式会社","単価契約","H30.3.9","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","井戸ノ谷川砂防事業に係る不動産鑑定業務","イーストノース株式会社","単価契約","H30.3.9","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線交通安全工事に係る不動産鑑定","清水不動産鑑定事務所","単価契約","H30.3.12","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線交通安全工事に係る不動産鑑定","清水不動産鑑定事務所","単価契約","H30.3.12","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線交通安全工事私道部分に係る意見書","清水不動産鑑定事務所","単価契約","H30.3.12","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線交通安全工事に係る意見書","清水不動産鑑定事務所","単価契約","H30.3.12","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","秋月海南線道路改良工事に係る不動産鑑定","明和不動産鑑定所","単価契約","H30.3.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","泉佐野打田線道路改良工事に係る
意見書","有限会社
アトラス鑑定","単価契約","H30.3.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","泉佐野打田線道路改良工事に係る不動産鑑定業務","有限会社
アトラス鑑定","単価契約","H30.3.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
